,createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,createdAtDate,token0.decimals,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.decimals,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.decimals,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,creator_address
30,13624487,1637036424,0xc6ebbf31a79af43ca5d4bbcbafd31ce49023aa85,6.04624422,298094467.7,12.09248844,52122.72426,1.326649916,175,298094467.7,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xe9f7d89d61ab4f72fc7f0183aa1122c0a7781e04,Tax LoopHole,TL,298094467.7,175,9,0xe9f7d89d61ab4f72fc7f0183aa1122c0a7781e04,Tax LoopHole,TL,298094467.7,175,
31,13624221,1637032727,0x307991855a204f239486acefffac190895842e35,0.000313336,4e-18,4e-18,1.72505e-14,0.0,5,0.000313336,2021-11-16,9,0x1f7219c3a7319bb0adf1face8a6dbc40cc59839b,Tiger Queen,TQUEEN,0.000313336,5,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x1f7219c3a7319bb0adf1face8a6dbc40cc59839b,Tiger Queen,TQUEEN,0.000313336,5,
32,13624023,1637029909,0x5daa358d2689fb683997052527ca2ba4c4ccc634,6.727134795,587733000000.0,13.45426959,57862.97905,62.56865999,49,587733000000.0,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xe81d88cc8384033d544017c0778ff6116bb4612b,PUMP IT,PUMP IT,587733000000.0,49,9,0xe81d88cc8384033d544017c0778ff6116bb4612b,PUMP IT,PUMP IT,587733000000.0,49,
33,13623829,1637026874,0x769efd5df17447846851acb39a415979b3561051,19.80817279,972507000000.0,39.61634557,171483.415,137.6494403,45,972507000000.0,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xf15d6282eadc9dafee751eff9e0230d38218f6ad,Beluga Club,BC,972507000000.0,45,9,0xf15d6282eadc9dafee751eff9e0230d38218f6ad,Beluga Club,BC,972507000000.0,45,
34,13623778,1637026266,0x2911e7b0aa4acec5714f6bcf14c80f3876a80b70,675232308.4,6.296503683,12.59300737,53921.75818,64319.51492,231,675232308.4,2021-11-16,18,0x5505d8b85f80e915e78b3099ab6d5f917d668f15,I Hate You,IHY,675232308.4,231,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0x5505d8b85f80e915e78b3099ab6d5f917d668f15,I Hate You,IHY,675232308.4,231,
35,13623759,1637026038,0x575b81f7a52ac6a61fec2452d410c77cc84ce75b,1e-18,0.004719219,2e-18,8.41449e-15,0.0,60,0.004719219,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xc87467941c87ff919b3270b2116c206752c68d66,Ryoko-inu,Ryoko-inu,0.004719219,60,9,0xc87467941c87ff919b3270b2116c206752c68d66,Ryoko-inu,Ryoko-inu,0.004719219,60,
36,13623703,1637025286,0xbcd2ab4397b43bbedfa3ba9d995530bad9022277,8.693163432,2383760000000.0,17.38632686,75415.26689,4422759.442,395,2383760000000.0,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0xc9971aa6d4c6cb274b8cba24c0ecd292aaa49004,ECCO INU,ECCO,2383760000000.0,395,18,0xc9971aa6d4c6cb274b8cba24c0ecd292aaa49004,ECCO INU,ECCO,2383760000000.0,395,
37,13623676,1637024826,0x1ee43149b87d6e56205a1968a08a899942c04cc5,29488900000000.0,9.600040707,19.20008141,82725.76201,515.4130007,261,29488900000000.0,2021-11-16,9,0x29b616190006b767a13eb14473d7e587381717ca,Moro Inu,MORO INU,29488900000000.0,261,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x29b616190006b767a13eb14473d7e587381717ca,Moro Inu,MORO INU,29488900000000.0,261,
38,13623515,1637022794,0xd5023f8402f2e7193fdc2365c4fad1854737cac5,1.1632e-05,9.1e-17,1.82e-16,8.15158e-13,0.0,19,1.1632e-05,2021-11-16,9,0x27f94c19500c376b8545ffd9d3b6d56773ef15e5,Moro Inu,MORO,1.1632e-05,19,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x27f94c19500c376b8545ffd9d3b6d56773ef15e5,Moro Inu,MORO,1.1632e-05,19,
39,13623355,1637020455,0x90c52867e6af5c6b7c0029c7badbec0e0008a6d9,787941000000.0,4.013083316,8.026166632,34357.98706,56.1248608,47,787941000000.0,2021-11-15,9,0xa82cce7fc9a9b3aed62b246269ea45f38b6a4744,The Kingdom,TheKingdom,787941000000.0,47,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xa82cce7fc9a9b3aed62b246269ea45f38b6a4744,The Kingdom,TheKingdom,787941000000.0,47,
40,13623332,1637020165,0x597c78052f881125b89fefa20c0c3555b3bceed8,935097000000.0,2.906223223,5.812446446,24916.97483,51.9025775,13,935097000000.0,2021-11-15,9,0x3298dae91d1f1240695d8ec0cedc11334231d306,Aladdin,ALA,935097000000.0,13,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x3298dae91d1f1240695d8ec0cedc11334231d306,Aladdin,ALA,935097000000.0,13,
41,13623316,1637019930,0xe590679d780bb278f49fc883a256d04a98cd1813,298217000000.0,0.014061931,0.014061931,63.85176508,0.640898677,33,298217000000.0,2021-11-15,8,0x2d0fe93201e016aef253c1be17cafb4fdd30de5a,Rieth Rise Ethereum,RIETH,298217000000.0,33,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,8,0x2d0fe93201e016aef253c1be17cafb4fdd30de5a,Rieth Rise Ethereum,RIETH,298217000000.0,33,
42,13623277,1637019191,0x996cd43a5d1ee9329170b4b0d5fc2b8cf6a7ee6c,2.573e-08,1e-18,1e-18,4.33969e-15,0.0,8,2.573e-08,2021-11-15,18,0x717853febb72c33435a206a2a7f7f82ebb1edd4a,PapaBezos,PapaB,2.573e-08,8,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0x717853febb72c33435a206a2a7f7f82ebb1edd4a,PapaBezos,PapaB,2.573e-08,8,
43,13623262,1637019032,0x14658952a945195ac42d32becd5998257681042b,768406000000.0,11.29124551,22.58249102,97131.9264,92.46621004,323,768406000000.0,2021-11-15,9,0x344ed95af49cf37fc629ae18350007d78a5cd72b,SendIt,SENDIT,768406000000.0,323,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x344ed95af49cf37fc629ae18350007d78a5cd72b,SendIt,SENDIT,768406000000.0,323,
